C:\Users\JayphoneLin\anaconda3\envs\pytorch_study\python.exe C:/Users/JayphoneLin/Desktop/GAN-INTRO/GAN-Generate-fake-MNIST.py
Epoch [17/200], Step [400/600], d_loss: 0.3920, g_loss: 4.4698, D(x): 0.91, D(G(z)): 0.15
Epoch [17/200], Step [600/600], d_loss: 0.3630, g_loss: 3.1543, D(x): 0.98, D(G(z)): 0.20
Epoch [18/200], Step [200/600], d_loss: 0.2662, g_loss: 5.1191, D(x): 0.93, D(G(z)): 0.05
Epoch [18/200], Step [400/600], d_loss: 0.2535, g_loss: 2.8401, D(x): 0.92, D(G(z)): 0.05
Epoch [18/200], Step [600/600], d_loss: 0.1724, g_loss: 4.4248, D(x): 0.95, D(G(z)): 0.08
Epoch [19/200], Step [200/600], d_loss: 0.2435, g_loss: 5.0730, D(x): 0.90, D(G(z)): 0.04
Epoch [19/200], Step [400/600], d_loss: 0.4391, g_loss: 4.4922, D(x): 0.83, D(G(z)): 0.01
Epoch [19/200], Step [600/600], d_loss: 0.2512, g_loss: 3.8666, D(x): 0.96, D(G(z)): 0.09
Epoch [20/200], Step [200/600], d_loss: 0.2370, g_loss: 4.9324, D(x): 0.92, D(G(z)): 0.05
Epoch [20/200], Step [400/600], d_loss: 0.1242, g_loss: 4.9555, D(x): 0.94, D(G(z)): 0.02
Epoch [20/200], Step [600/600], d_loss: 0.2336, g_loss: 4.8891, D(x): 0.95, D(G(z)): 0.10
Epoch [21/200], Step [200/600], d_loss: 0.1429, g_loss: 4.6396, D(x): 0.96, D(G(z)): 0.06
Epoch [21/200], Step [400/600], d_loss: 0.3047, g_loss: 4.9432, D(x): 0.91, D(G(z)): 0.08
Epoch [21/200], Step [600/600], d_loss: 0.1739, g_loss: 3.6372, D(x): 0.96, D(G(z)): 0.08
Epoch [22/200], Step [200/600], d_loss: 0.2272, g_loss: 4.1138, D(x): 0.95, D(G(z)): 0.09
Epoch [22/200], Step [400/600], d_loss: 0.2146, g_loss: 3.3508, D(x): 0.93, D(G(z)): 0.06
Epoch [22/200], Step [600/600], d_loss: 0.1910, g_loss: 4.6502, D(x): 0.94, D(G(z)): 0.07
Epoch [23/200], Step [200/600], d_loss: 0.2163, g_loss: 6.8303, D(x): 0.95, D(G(z)): 0.05
Epoch [23/200], Step [400/600], d_loss: 0.1980, g_loss: 3.2547, D(x): 0.94, D(G(z)): 0.05
Epoch [23/200], Step [600/600], d_loss: 0.1706, g_loss: 4.3712, D(x): 0.96, D(G(z)): 0.07
Epoch [24/200], Step [200/600], d_loss: 0.1769, g_loss: 4.2928, D(x): 0.96, D(G(z)): 0.10
Epoch [24/200], Step [400/600], d_loss: 0.2126, g_loss: 3.8633, D(x): 0.97, D(G(z)): 0.11
Epoch [24/200], Step [600/600], d_loss: 0.3335, g_loss: 5.5045, D(x): 0.94, D(G(z)): 0.11
Epoch [25/200], Step [200/600], d_loss: 0.1642, g_loss: 5.3018, D(x): 0.95, D(G(z)): 0.07
Epoch [25/200], Step [400/600], d_loss: 0.3554, g_loss: 4.3170, D(x): 0.94, D(G(z)): 0.13
Epoch [25/200], Step [600/600], d_loss: 0.3528, g_loss: 2.0991, D(x): 0.89, D(G(z)): 0.10
Epoch [26/200], Step [200/600], d_loss: 0.2582, g_loss: 5.6050, D(x): 0.92, D(G(z)): 0.06
Epoch [26/200], Step [400/600], d_loss: 0.2248, g_loss: 4.0658, D(x): 0.89, D(G(z)): 0.04
Epoch [26/200], Step [600/600], d_loss: 0.1951, g_loss: 3.6106, D(x): 0.95, D(G(z)): 0.10
Epoch [27/200], Step [200/600], d_loss: 0.1859, g_loss: 3.5230, D(x): 0.94, D(G(z)): 0.07
Epoch [27/200], Step [400/600], d_loss: 0.3194, g_loss: 5.1081, D(x): 0.90, D(G(z)): 0.06
Epoch [27/200], Step [600/600], d_loss: 0.4159, g_loss: 3.8236, D(x): 0.84, D(G(z)): 0.03
Epoch [28/200], Step [200/600], d_loss: 0.3362, g_loss: 3.8616, D(x): 0.94, D(G(z)): 0.17
Epoch [28/200], Step [400/600], d_loss: 0.4870, g_loss: 2.8423, D(x): 0.83, D(G(z)): 0.12
Epoch [28/200], Step [600/600], d_loss: 0.3666, g_loss: 4.0977, D(x): 0.91, D(G(z)): 0.15
Epoch [29/200], Step [200/600], d_loss: 0.3056, g_loss: 2.7730, D(x): 0.93, D(G(z)): 0.13
Epoch [29/200], Step [400/600], d_loss: 0.3279, g_loss: 4.0462, D(x): 0.89, D(G(z)): 0.08
Epoch [29/200], Step [600/600], d_loss: 0.3404, g_loss: 4.2641, D(x): 0.86, D(G(z)): 0.07
Epoch [30/200], Step [200/600], d_loss: 0.1495, g_loss: 6.2294, D(x): 0.94, D(G(z)): 0.06
Epoch [30/200], Step [400/600], d_loss: 0.4614, g_loss: 3.4998, D(x): 0.89, D(G(z)): 0.14
Epoch [30/200], Step [600/600], d_loss: 0.3744, g_loss: 2.9567, D(x): 0.90, D(G(z)): 0.14
Epoch [31/200], Step [200/600], d_loss: 0.3971, g_loss: 4.4147, D(x): 0.84, D(G(z)): 0.04
Epoch [31/200], Step [400/600], d_loss: 0.3027, g_loss: 3.6155, D(x): 0.91, D(G(z)): 0.09
Epoch [31/200], Step [600/600], d_loss: 0.2105, g_loss: 5.9470, D(x): 0.96, D(G(z)): 0.09
Epoch [32/200], Step [200/600], d_loss: 0.2377, g_loss: 5.6600, D(x): 0.92, D(G(z)): 0.06
Epoch [32/200], Step [400/600], d_loss: 0.1734, g_loss: 4.7337, D(x): 0.96, D(G(z)): 0.07
Epoch [32/200], Step [600/600], d_loss: 0.2520, g_loss: 5.7016, D(x): 0.91, D(G(z)): 0.06
